iter	RMSE
0	126.2228603
1	71.13844057
2	40.02241633
3	22.35887595
4	12.56189462
5	6.996025334
6	3.942448659
7	2.225075038
8	1.241416237
9	0.7120801076
10	0.4037088884
11	0.228595488
12	0.1296402725
13	0.07600142568
14	0.04232692341
15	0.02357282691
16	0.01340680894
17	0.007638799649
18	0.004311661373
19	0.002456325626
20	0.001379552766
21	0.0008265396714
22	0.0004818807246
23	0.0002962017354
24	0.0001722780578
25	0.0001054704106
26	6.698001531e-05
27	4.180089358e-05
28	2.360449717e-05
29	1.359860503e-05
30	7.761609285e-06
31	4.704737986e-06
32	2.954861614e-06
33	1.710950529e-06
34	1.053920285e-06
35	5.906992075e-07
36	3.671128343e-07
37	2.281434714e-07
38	1.274407212e-07
39	7.209139974e-08
40	4.040996285e-08
41	2.285758612e-08
42	1.370461314e-08
43	8.77552073e-09
44	5.179421712e-09
45	3.166224638e-09
46	1.768769783e-09
47	9.893270028e-10
48	5.554900639e-10
49	3.138892633e-10
50	1.809137634e-10
51	1.211214797e-10
52	6.850607317e-11
53	3.997450389e-11
54	2.23001013e-11
55	1.247139618e-11
56	7.107255699e-12
57	4.044973069e-12
58	2.261929164e-12
59	1.27039564e-12
60	7.162743552e-13
61	4.006611141e-13
62	2.223086659e-13
63	1.254432611e-13
64	7.517013835e-14
65	5.115452584e-14
66	4.284657204e-14
67	3.938594284e-14
68	3.863794663e-14
69	3.832639843e-14
70	3.826624506e-14
71	3.825456874e-14
72	3.825147095e-14
73	3.825147676e-14
74	3.824959083e-14
75	3.82496707e-14
76	3.824999534e-14
77	3.82499923e-14
78	3.824999136e-14
79	3.824999106e-14
80	3.824999097e-14
81	3.824999094e-14
82	3.824999094e-14
83	3.824999093e-14
84	3.824999093e-14
85	3.824999093e-14
86	3.824999093e-14
87	3.824999093e-14
88	3.824999093e-14
89	3.824999093e-14
90	3.824999093e-14
91	3.824999093e-14
92	3.824999093e-14
93	3.824999093e-14
94	3.824999093e-14
95	3.824999093e-14
96	3.824999093e-14
97	3.824999093e-14
98	3.824999093e-14
99	3.824999093e-14
100	3.824999093e-14
101	3.824999093e-14
102	3.824999093e-14
103	3.824999093e-14
104	3.824999093e-14
105	3.824999093e-14
106	3.824999093e-14
107	3.824999093e-14
108	3.824999093e-14
109	3.824999093e-14
110	3.824999093e-14
111	3.824999093e-14
112	3.824999093e-14
113	3.824999093e-14
114	3.824999093e-14
115	3.824999093e-14
116	3.824999093e-14
117	3.824999093e-14
118	3.824999093e-14
119	3.824999093e-14
120	3.824999093e-14
121	3.824999093e-14
122	3.824999093e-14
123	3.824999093e-14
124	3.824999093e-14
125	3.824999093e-14
126	3.824999093e-14
127	3.824999093e-14
128	3.824999093e-14
129	3.824999093e-14
130	3.824999093e-14
131	3.824999093e-14
132	3.824999093e-14
133	3.824999093e-14
134	3.824999093e-14
135	3.824999093e-14
136	3.824999093e-14
137	3.824999093e-14
138	3.824999093e-14
139	3.824999093e-14
140	3.824999093e-14
141	3.824999093e-14
142	3.824999093e-14
143	3.824999093e-14
144	3.824999093e-14
145	3.824999093e-14
146	3.824999093e-14
147	3.824999093e-14
148	3.824999093e-14
149	3.824999093e-14
