iter	Passed	Remaining
0	11	1712
1	21	1615
2	32	1603
3	44	1608
4	54	1580
5	68	1635
6	82	1682
7	97	1732
8	113	1777
9	130	1827
10	147	1863
11	166	1916
12	183	1936
13	200	1947
14	216	1951
15	231	1941
16	249	1949
17	263	1931
18	277	1914
19	296	1927
20	310	1909
21	332	1935
22	357	1975
23	374	1966
24	387	1937
25	401	1914
26	414	1887
27	425	1856
28	439	1832
29	451	1805
30	462	1777
31	473	1746
32	484	1718
33	495	1690
34	505	1660
35	517	1639
36	528	1614
37	537	1585
38	549	1563
39	559	1538
40	571	1518
41	582	1498
42	593	1475
43	604	1455
44	614	1434
45	624	1412
46	636	1395
47	648	1379
48	661	1363
49	671	1343
50	683	1326
51	694	1307
52	705	1291
53	717	1274
54	727	1256
55	737	1237
56	747	1220
57	759	1204
58	770	1188
59	781	1171
60	791	1155
61	802	1138
62	813	1123
63	825	1109
64	836	1093
65	847	1078
66	858	1063
67	868	1047
68	879	1032
69	890	1017
70	902	1003
71	913	989
72	924	975
73	935	960
74	947	947
75	958	933
76	968	918
77	978	903
78	988	888
79	998	874
80	1009	859
81	1019	845
82	1029	831
83	1040	817
84	1050	803
85	1062	790
86	1073	777
87	1083	763
88	1093	749
89	1103	735
90	1114	722
91	1125	709
92	1135	696
93	1145	682
94	1155	669
95	1165	655
96	1176	642
97	1186	629
98	1195	616
99	1205	602
100	1215	589
101	1225	576
102	1237	564
103	1248	552
104	1258	539
105	1268	526
106	1279	514
107	1289	501
108	1300	489
109	1309	476
110	1320	463
111	1329	451
112	1339	438
113	1349	426
114	1358	413
115	1369	401
116	1379	388
117	1387	376
118	1397	364
119	1407	351
120	1416	339
121	1426	327
122	1435	315
123	1444	302
124	1454	290
125	1464	278
126	1474	267
127	1484	255
128	1495	243
129	1504	231
130	1514	219
131	1524	207
132	1534	196
133	1545	184
134	1554	172
135	1564	161
136	1575	149
137	1584	137
138	1594	126
139	1603	114
140	1614	103
141	1624	91
142	1635	80
143	1646	68
144	1656	57
145	1666	45
146	1677	34
147	1689	22
148	1699	11
149	1710	0
